firm,fieldwork,ÖVP ,SPÖ ,FPÖ 
,,,,
OGM ,16–23 Sep 2019 ,34,22,20
Research Affairs ,19–22 Sep 2019 ,34,23,21
Peter Hajek ,12–20 Sep 2019 ,34,22,20
Market ,16–18 Sep 2019 ,35,23,20
Research Affairs ,13–18 Sep 2019 ,34,23,20
Karmasin ,11–17 Sep 2019 ,34,22,20
OGM ,6–13 Sep 2019 ,35,22,20
Unique Research ,2–13 Sep 2019 ,33,22,20
Research Affairs ,6–11 Sep 2019 ,35,22,19
Karmasin ,5–10 Sep 2019 ,35,22,19
Market (Weekend) ,5–8 Sep 2019 ,34,22,21
Market ,2–4 Sep 2019 ,34,22,21
Research Affairs ,30 Aug–4 Sep 2019 ,36,22,20
Karmasin ,29 Aug–3 Sep 2019 ,35,21,20
GfK/Demox Research ,September 2019 ,34,23,21
Research Affairs ,22–28 Aug 2019 ,36,22,20
Unique Research ,19–22 Aug 2019 ,36,20,20
Research Affairs ,16–21 Aug 2019 ,35,21,19
Research Affairs ,9–14 Aug 2019 ,35,21,19
OGM ,8–12 Aug 2019 ,35,23,20
Kowarcz Marktforschung ,26 Jul–9 Aug 2019 ,31,20,22
Research Affairs ,1–7 Aug 2019 ,36,22,20
Market ,2–5 Aug 2019 ,35,22,20
Research Affairs ,25–31 Jul 2019 ,36,22,20
Research Affairs ,18–24 Jul 2019 ,36,22,20
Research Affairs ,5–17 Jul 2019 ,37,22,19
Unique Research ,8–12 Jul 2019 ,37,20,21
Research Affairs ,5–10 Jul 2019 ,37,22,18
IFES (for SPÖ) ,1–10 Jul 2019 ,37,23,19
Market ,8–9 Jul 2019 ,36,21,20
Research Affairs ,27 Jun–4 Jul 2019 ,37,22,18
Peter Hajek ,24–28 Jun 2019 ,38,20,20
Research Affairs ,14–20 Jun 2019 ,38,23,17
SORA ,31 May–10 Jun 2019 ,38,21,18
Market ,5–6 Jun 2019 ,38,22,19
Unique Research ,31 May–5 Jun 2019 ,37,20,21
Research Affairs ,29 May–4 Jun 2019 ,38,23,17
Research Affairs ,29–31 May 2019 ,38,23,17
Unique Research ,29–31 May 2019 ,38,21,19
OGM ,27–29 May 2019 ,36,22,21
GfK/Demox Research ,Late May 2019 ,37.5,22.5,18.5
Research Affairs ,18–20 May 2019 ,38,26,18
Research Affairs ,9–15 May 2019 ,34,25,23
GfK/Demox Research ,25 Apr–2 May 2019 ,34,27,22
Research Affairs ,25 Apr–1 May 2019 ,34,25,22
Research Affairs ,11–17 Apr 2019 ,34,24,23
Market ,12–15 Apr 2019 ,34,28,22
Unique Research ,8–12 Apr 2019 ,34,28,22
GfK/Demox Research ,28 Mar–11 Apr 2019 ,33,27,24
Research Affairs ,28 Mar–3 Apr 2019 ,34,24,23
Research Affairs ,14–20 Mar 2019 ,34,24,25
Unique Research ,11–15 Mar 2019 ,34,25,24
Unique Research ,4–7 Mar 2019 ,33,27,24
Research Affairs ,26 Feb–6 Mar 2019 ,34,24,24
Peter Hajek ,21–28 Feb 2019 ,34,27,23
Research Affairs ,13–20 Feb 2019 ,34,25,24
Unique Research ,11–15 Feb 2019 ,32,26,25
GfK/Demox Research ,5–8 Feb 2019 ,34,27,22
Research Affairs ,31 Jan–6 Feb 2019 ,34,25,23
Research Affairs ,17–23 Jan 2019 ,34,26,23
OGM ,15–17 Jan 2019 ,35,27,24
Unique Research ,7–11 Jan 2019 ,35,27,21
Research Affairs ,3–9 Jan 2019 ,34,26,24
Unique Research ,10–14 Dec 2018 ,35,26,22
Market ,7–12 Dec 2018 ,34,27,24
Research Affairs ,6–12 Dec 2018 ,34,25,24
Peter Hajek ,3–11 Dec 2018 ,35,26,22
GfK/Demox Research ,26 Nov–9 Dec 2018 ,34,26,23.5
Unique Research ,3–6 Dec 2018 ,33,26,22
Research Affairs ,22–28 Nov 2018 ,34,25,24
Unique Research ,12–16 Nov 2018 ,35,24,24
Market ,13–15 Nov 2018 ,33,26,25
Research Affairs ,8–14 Nov 2018 ,34,25,24
Peter Hajek ,22–31 Oct 2018 ,33,25,25
Research Affairs ,24–30 Oct 2018 ,34,25,25
Spectra ,9–29 Oct 2018 ,33,25,26
Research Affairs ,11–17 Oct 2018 ,34,26,24
Unique Research ,8–12 Oct 2018 ,34,26,25
OGM ,9–11 Oct 2018 ,34,26,26
GfK/Demox Research ,Early Oct 2018 ,33,27.5,23.5
Research Affairs ,27 Sep–3 Oct 2018 ,34,27,23
Market ,25–27 Sep 2018 ,33,28,23
Research Affairs ,19–20 Sep 2018 ,34,24,24
Spectra ,27 Aug–17 Sep 2018 ,32,25,27
Unique Research ,10–13 Sep 2018 ,34,28,25
Unique Research ,3–6 Sep 2018 ,33,29,23
Research Affairs ,30 Aug–5 Sep 2018 ,33,27,23
Peter Hajek ,23–29 Aug 2018 ,34,28,23
Market ,20–23 Aug 2018 ,33,28,23
Research Affairs ,16–22 Aug 2018 ,33,26,23
Spectra ,31 Jul–22 Aug 2018 ,32,26,26
Unique Research ,6–10 Aug 2018 ,34,29,23
Research Affairs ,2–8 Aug 2018 ,33,27,24
Research Affairs ,19–25 Jul 2018 ,33,27,24
Spectra ,4–23 Jul 2018 ,33,26,24
Unique Research ,9–13 Jul 2018 ,34,29,24
Research Affairs ,5–11 Jul 2018 ,33,26,24
Spectra ,6–29 Jun 2018 ,34,26,28
OGM ,26–28 Jun 2018 ,33,28,25
Research Affairs ,21–27 Jun 2018 ,33,26,25
Unique Research ,18–21 Jun 2018 ,33,27,25
Market ,12–15 Jun 2018 ,34,26,25
Research Affairs ,7–13 Jun 2018 ,33,26,25
Peter Hajek ,4–11 Jun 2018 ,34,26,25
Unique Research ,4–6 Jun 2018 ,33,27,25
Spectra ,9 May–5 Jun 2018 ,33,27,28
Research Affairs ,24–30 May 2018 ,32,26,24
Unique Research ,22–25 May 2018 ,32,25,25
Research Affairs ,10–16 May 2018 ,32,27,23
IMAS ,18 Apr–9 May 2018 ,33,28,26
Research Affairs ,26 Apr–2 May 2018 ,32,28,24
Spectra ,9–30 Apr 2018 ,34,28,27
Peter Hajek ,19–25 Apr 2018 ,33,26,26
Research Affairs ,12–18 Apr 2018 ,32,27,24
Unique Research ,8–13 Apr 2018 ,33,27,24
Research Affairs ,29 Mar–4 Apr 2018 ,32,28,23
Market ,26–29 Mar 2018 ,32,28,25
Spectra ,6–26 Mar 2018 ,31,27,29
Unique Research ,19–22 Mar 2018 ,32,30,23
OGM ,19–21 Mar 2018 ,32,28,24
Research Affairs ,14–21 Mar 2018 ,32,28,22
IMAS ,14 Feb–18 Mar 2018 ,32,28,25
Unique Research ,12–15 Mar 2018 ,31,28,25
Market ,6–8 Mar 2018 ,33,29,24
Research Affairs ,1–7 Mar 2018 ,32,27,24
Research Affairs ,15–21 Feb 2018 ,31,26,24
Peter Hajek ,12–20 Feb 2018 ,34,25,25
Spectra ,25 Jan–19 Feb 2018 ,33,28,26
Unique Research ,11–16 Feb 2018 ,33,26,26
Research Affairs ,1–8 Feb 2018 ,31,26,25
Research Affairs ,18–24 Jan 2018 ,31,27,26
Unique Research ,15–19 Jan 2018 ,34,27,25
Research Affairs ,4–10 Jan 2018 ,31,27,27
Peter Hajek ,18–21 Dec 2017 ,31,28,26
Market ,18–20 Dec 2017 ,33,27,26
Research Affairs ,18–20 Dec 2017 ,32,26,28
Unique Research ,11–15 Dec 2017 ,31,27,26
Market ,1–6 Dec 2017 ,32,26,26
Research Affairs ,4–6 Dec 2017 ,32,27,28
Research Affairs ,21–23 Nov 2017 ,32,27,27
Unique Research ,13–17 Nov 2017 ,32,28,24
Research Affairs ,7–9 Nov 2017 ,33,27,27
Market ,6–9 Nov 2017 ,31,28,26
Research Affairs ,18–20 Oct 2017 ,33,28,27
Christina Matzka ,16–17 Oct 2017 ,29.9,26.9,25.9
Research Affairs/Österreich ,2017-10-09 ,33,23,27
OGM/Kurier ,2017-10-05 ,33,27,25
